,text,friend_count,level_b,RT,length
762,"Lowkey I been keeping it classy, could be really out here doing em nasty🥶💧 https://t.co/jKv8Z3u8i2",547,0,0,15
763,Lazy ass dog go get a job unemployment is at a record low https://t.co/kPmW8sCA3Y,3029,0,0,14
764,<user> No fucking beets today,54,0,0,5
765,Errol Spence look fucked up . If nobody else wants to say it I will . Slurring his speech eye socket look swollen h… https://t.co/S2aicw7lCZ,325,0,0,25
766,So fucking sexy,507,0,0,3
767, <user>: i literally talk to nobody. im so fucking bored,441,0,1,10
768," <user>: no but HALA HALA for a rookie group??? the choreography, the vocals, the visuals, the entire concept??? fucking unmatched h…",7799,0,1,21
769," <user>: Aasim is so disgusting. He is constantly passing personal comments &amp; even on Sid's family.

Tujhe kbhi pyar nahi Mila,…",0,0,1,21
770,<user> has raised over half a million for St.Jude already.. what a fucking legend. every single year. show him som… https://t.co/7qvK8eziwr,753,0,0,21
771,for some reason while I’m currently sick food is just disgusting to look at . Even if I see a picture of cake I wan… https://t.co/vG6CbOgvQz,56,0,0,26
772," <user>: <user> <user> <user> <user> Asim is geting worst day by day and now he is sooo much disgusting 
SidMania…",12,0,1,20
773,it’s been so long since I’ve had a night like this but I just can’t fucking sleep,80,0,0,17
774," <user>: Everyone agrees that violent video games don’t make people violent, but once you have a problematic ship, everyone forgets…",204,0,1,20
775," <user>: I knew it, we knew it was a targeted hate campaign against Jeremy Corbyn. They have proven it because they stopped speak…",2343,0,1,23
776,this is the best day of my fucking life no ones understanding..  https://t.co/1pJOBHSYHP,290,0,0,13
777, <user>: FUCKING VEGAS https://t.co/ebR69qfxAI,423,0,1,4
778, <user>: its rude <num> stare https://t.co/pq4EF8kgg0,729,0,1,6
779,"Damn a few of my friends fucked behind me! That’s crazy! I’ll never go out like that, my loyalty run to deep! Ask a… https://t.co/C6zMsaRXGs",525,0,0,25
780," <user>: Hole R <num> Fucking <user> None of us have left the apartment in days. Been super busy! Seriously, we can't stop fu…",122,0,1,23
781, <user>: <num> was the year of thinking that dying my hair was a quirky personality trait y did no one stop me now i have <num> stra…,693,0,1,27
782,"<user> || Misty finished and sat there, she didn’t want to just leave and be rude ||

❄️...Erm......❄️",60,0,0,18
783,<user> You grounded me for working out stfu I fucking hate you,127,0,0,12
784,"That's trash from Athanasiou.

All 'cause his <num>'<num>"" <num> lb teammate got ragdolled and spiked on his head after jumpi… https://t.co/NDYb7YQuvR",521,0,0,21
785, <user>: Fucking myself by the river 💦 Full vid https://t.co/ciqXcqDg8L https://t.co/ASHrJBK4th,1332,0,1,10
786," <user>: The disgusting acts of violence against Muslims shouldn't be hidden from media. They deserve attention and justice 
China_i…",1065,0,1,19
787, <user>: Why do Indian journalists act surprised anytime Modi does something nasty as if they had expected something else from that ‘g…,100,0,1,22
788,"I've had some HORRIBLE takes in my day, but nothing as bad as this. YIKES",1599,0,0,15
789, <user>: The last person to trust with power is someone who is dying to have it. The best person to wield power is someone who is…,28463,0,1,26
790," <user>: <num> 'Angel' live version sound sooooo goooood PRVT01SEOUL 

©️moon_u_onlyone https://t.co/aoeeBzGGjA",247,0,1,11
791," <user>: Scott Morrison ""Dad makes a promise to their kids..."".

Mate some dads are not coming home to their kids this Christmas.…",58,0,1,22
792,This actually means that blood shed in battle bonds soldiers more strongly than simple genetics. Although we common… https://t.co/Oijzyr0gcH,365,0,0,19
793,<user> <user> funny how i just told my mum im arguing with a dumb bitch on twt and she laughed so hard whe… https://t.co/1pKOVhkoai,282,0,0,24
794,"my sisters dog is fucking SCREAMING bc hes locked out of the living room rn, like bitch ALL the dogs are locked out… https://t.co/qP9RGB1Df5",38,0,0,24
795, <user>: This is crazy China_is_terrorist https://t.co/EZeoytzShc,39,0,1,6
796, <user>: HOLY FUCK ITS FUCKING REAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAL https://t.co/hI12bda6wb,626,0,1,7
797,"Let me just say ""Fucking Irvings"".

You hear that a lot around here.

Fucking Irvings.",3266,0,0,15
798,<user> Wow. Just fucking wow. When you get back home I’ll be gone. Ion know where I’m going but I’m going,1266,0,0,21
799,<user> Jamies don’t either 😂 they just are inconsistent never know what you gon get from either one they ca… https://t.co/7twBgu40CB,268,0,0,21
800,This my boy <user> 😂,313,0,0,5
801,i feel so useless,186,0,0,4
802, <user>: being selfish all <num> - it’s time to start putting MYSELF first,380,0,1,13
803, <user>: good morning Sophie the cock destroyer replied to my tweet im so fucking hyped https://t.co/g9i2WyAehE,42,0,1,16
804," <user>: Get this bullshit, embarrassing organization out of our fucking rink. Shit hole ass Little Caesars minor bantam ass losers…",1430,0,1,20
805,I should be on tour but no I’m in the fucking valet,1200,0,0,12
806, <user>: fucking around lol https://t.co/QJnkF63G8A,870,0,1,5
807,"i'm damn sick of people who break my heart, and you broke my heart so hell yeah i'm fucking sick of u get out of my fucking life",292,0,0,28
808, <user>: I feel like dying,757,0,1,5
809, <user>: <user> Call the police and file sextortion (revenge porn) and possession of child pornography (if you were un…,153,0,1,19
810,Very proud of myself for editing out every time I've typed out how much of a fucking dense asshole people are befor… https://t.co/Abc2gJl1yO,4994,0,0,23
811," <user>: <user> <user> <user> <user> From now on wherever ""SmoCo"" turns up I would love always to be the…",424,0,1,19
812, <user>: Twt <num>  -  LetEcityBreathe.Don't kill us with toxic fumes.The obnoxious smell emanating from ECity SWM plant is unbearable…,6,0,1,19
813," <user>: LeBron really hurt bro? No fucking way, can we not have nice things in Lakerland??? FUCK BRO.",221,0,1,18
814," <user>: Ben might be my favourite character for his rampant sociopathy but I'm gonna miss Chilly the most.

All art is autobiog…",328,0,1,22
815,<user> <user> <user> <user> We don’t need a space force. We need to address THIS issue. It’s n… https://t.co/TVpRY9Fn5M,181,0,0,19
816,I like this group. Mostly not dumb *u* https://t.co/sKk8KR0iQe,2482,0,0,9
817," <user>: [Pls ] I forgot to post my chao garden charm! He's a <num>"" holographic acrylic charm with a heart clasp and he loves you!! I…",211,0,1,26
818, <user>: Disgusting person!!His plan of instigating Sid is being interferred by VikasGupta n so he wants VG to get out of d show!!Aste…,116,0,1,23
819,<user> I could look at Kirby for hours this isn’t anything horrible,461,0,0,12
820,<user> can you fucking not,727,0,0,5
821, <user>: we are clownbebes because we have no livestream also sadbebes because we have no livestream also brokenheartedbebes because…,112,0,1,19
822,NO CAP ... NO FUCKING CAP https://t.co/toTPakAQTV,163,0,0,7
823, <user>: What’s happening to Chinese Muslims is absolutely disgusting. A holocaust for Muslims. https://t.co/80NaD75zYw,21859,0,1,14
824,<user> What a fucking surprise.,410,0,0,5
825,<user> <user> <user> True. No halftime lead feels safe after that horrible implosion vs. Houston 😫,117,0,0,16
826," <user>: TOUCHIN IN VR MODE PLEASE I FEEL LIKE IM REALLY WATCHING HIM PERFORM LIVE DKSKSKS

ALSO THOSE FUCKING STARES OMYGOD DANIEL…",781,0,1,22
827, <user>: Imagine giving them all up for one just to be fucked over.. damn I’m stupid.,96,0,1,16
828, <user>: that whoever believes in him should not perish but have eternal life.” And they need the message from the Bible to counter t…,264,0,1,24
829," <user>: deku and katsuki get into an argument and katsuki bursts out into tears. deku has never made katsuki cry before, ever. he…",90,0,1,23
830,"<user> The economy is only good for the rich
respectfully.........
wages staying stagnant 
there is zero ""tric… https://t.co/v4uVKTwKE0",3302,0,0,18
831,i see my partner in <num> says i REPEAT i’m fucking meeting my partner in <num> days,93,0,0,17
832,So fucking delicious https://t.co/uOELQjYPvP,700,0,0,4
833, <user>: Dime teen gets fucked😏🔞Retweet and follow to help us grow 🔞 https://t.co/1Txx45XuVd,682,0,1,13
834, <user>: Dear girls with long hair: DON’T FUCKING CUT IT,129,0,1,10
835,“Sounds like a job for me~.”,971,0,0,6
836,My dad doesn't fucking love me,127,0,0,6
837,Oh nooo Kookie.. I cant imagine what you've been through babe😔😭,1942,0,0,11
838,I haven’t listened to classic rock in a couple weeks. I’m dying tbh,407,0,0,13
839,<user> Fucking SAME,135,0,0,3
840," <user>: <user> Boys definitely deserve as much respect as girls do . 
Rashmi Guttermouth is soooo jealous of <user>…",12,0,1,19
841, <user>: when he grab my neck &amp; say “stop fucking playing w me”😭😭 https://t.co/ta2Y0DcGIq,1259,0,1,14
842, <user>: Nella thank you for sharing this. It’s disgusting and so unethical for these companies to approach young women like this. It wou…,768,0,1,23
843,All the red states are similar and the white imbeciles continue to elect the lying republicans because they are dum… https://t.co/qRAYRocamr,460,0,0,21
844, <user>: <user> told me do a verse for a song called NASTY NASTY 😈 it’s out now https://t.co/DjLgcHYGlS,98,0,1,18
845," <user>: Honestly, this <num> will be selfish year for me. My time will be invested on me. On improving myself. I want to become a bet…",179,0,1,26
846, <user>: every sub that follows Me needs to tribute a black domme right the fuck now for that shit. doesn’t even have to be Me. ju…,656,0,1,26
847, <user>: Accidentally clicked on someone’s live and I was the only person watching but she was in the middle of a rant and I felt lik…,796,0,1,26
848,She had this nigga on his fucking knees outside stoppp 😂😂😂,734,0,0,11
849,"<user> It's Twitter, Sassy, we're all fucked up round here. 😎",661,0,0,11
850, <user>: this entire thread has me fucking hollering including the ppl in the comments adding videos of similar incidents 😭😭😭 ht…,501,0,1,21
851,<user> <user> TA FUCKING LINE GROS,194,0,0,6
852," <user>: <user> Our country is burning, people are dying, houses are lost, people can’t breathe and a surplus is more impo…",332,0,1,21
853,"Not me, he never leave it’s always me 😂😂😂 n I go back bc I never seen anything better",162,0,0,19
854, <user>: this came up on my facebook feed and i'm in tears at this dumb fucking joke https://t.co/LjTVYX7H08,365,0,1,18
855,There aren't many actors that are intelligent they live in a fantasy world.  Reality sucks,5407,0,0,15
856, <user>: Omg I’m cryingggg 🥺😭😭😭😭 https://t.co/YEZgeehHv4,141,0,1,6
857,Anyway lemme know when it's safe to talk about how Palpatine is a huge dumbass thanks,493,0,0,16
858,I fucking hate this SM GIVE US A TOME TO LOVE LIVE STAGE DAMN,473,0,0,14
859," <user>: BiggBoss13: Was SalmanKhan stopped midway from lecturing SidharthShukla after his nasty fight with RashamiDesai?

BiggBoss B…",200,0,1,17
860, <user>: i can’t even say hello without thinking of this fucking thing he does omg the <num> have actually ruined my life https://t.co…,487,0,1,23
861,<user> HORRIBLE LMAOOO,70,0,0,3
862," <user>: HUNG ASIAN 🇨🇳 NERD 🤓 (2of3)

Top: ""Want that cock?""
Bottom: ""Oh it feels fucking great!""

- bigdickaznboy <num> https:/…",144,0,1,21
863,<user> Lets fucking gooooooooo. I'm on my way to work so as soon as I have some down time its on ✊🏾,846,0,0,22
864, <user>: star wars really fucked up didn’t they. daisy ridley i am SO sorry! https://t.co/fiSuKWWQvh,110,0,1,15
865, <user>: she really said fuck the police then went home and fucked the police https://t.co/pXLYzW1RJV,107,0,1,15
866, <user>: <user> <user> <user> <user> I remember someone telling us they can retroactively impeach Obama.…,925,0,1,15
867," <user>: good evening to hoseok and his pants tucked inside his fucking SOCKS
 https://t.co/JsyTIJn86X",1326,0,1,14
868, <user>: i could watch this on a loop for the rest of my life oh my fucking god he’s too hot for words https://t.co/eH9yyGvTwN,694,0,1,24
869," <user>: lovecraft: so yeah so this monster looks super fucked
reader: oh man how fucked
lovecraft: you know
reader: i truly do not.…",40,0,1,23
870,Noooooo my son is crying 🤧,388,0,0,6
871," <user>: rico nasty: you rap about an Audi too much!

me with no Audi: BECAUSE MY AUDI PAID OFF BITCH, HUSH! https://t.co/HZqykPs…",318,0,1,22
872," <user>: The dow is <num>,<num>.

Wow!

It's in all time record territory.

Food for thought:

It's always highest before it crashes.

It's…",1556,0,1,22
873,Things to do this holiday:,278,0,0,5
874, <user>: friendly reminder that you can draw characters either way and STILL be true to canon so stop commenting dumb shit under artist…,714,0,1,23
875,Let’s fucking gooooo!!! <user> 💪🏽👌🏽🔥 GoNiners,168,0,0,6
876,What is he singing thou?,1020,0,0,5
877,"<user> I guess You ""We The Idiots"" that voted for those DeMONcRATic Party Assholes are going to find out if… https://t.co/29jGgSZAT4",57,0,0,21
878, <user>: <num> years?? Naa g you’re rushing it. https://t.co/vjfOV096h1,241,0,1,9
879,"Watching a Christmas movie with the kids and husband, who has been watching puppy videos in the kitchen, has texted… https://t.co/S6BOGbpIBr",352,0,0,21
880, <user>: Sid always abusing asim on family always  is so disgusting! This guys has no respect and dignity. Bring back you honour d…,150,0,1,23
881,Oh man I’m fucking annoyed.,167,0,0,5
882, <user>: The pain in Asim's eyes when Paras said that thing about Asim's sister broke my heart! 💔 Paras and Sid deserve each other…,157,0,1,24
883," <user>: Traceeee 😂😂♥️ ok y’all it’s 
suh-wee-tea https://t.co/Tm7th0OLkF",928,0,1,8
884,Noooooo! We can't see the voice actor duel... again TAT,148,0,0,10
885,"I fucking left my controller at the tournament, FUCK",1341,0,0,9
886,"<user> <user> only my room so far but im not gonna go running around with my shoes off to find out

al… https://t.co/eSUCI4cEiU",789,0,0,23
887,STGU STFU JK FUCKING U RIGHT ON THE PENTHOUSE TERRACE,129,0,0,10
888, <user>: Jesus TheIrishman is way too fucking long. You could’ve (and should’ve) cut at least an hour from that film and it wou…,753,0,1,23
889, <user>: all i want for christmas is to wash his tits... suck them up... Then lean to his cock and give him a nasty blowjob https:…,931,0,1,26
890,Lmfao bro if y’all keep slamming my car doors I fucking swear,167,0,0,12
891, <user>: Hahahahaha just found out IIIII WAS getting cheating on with multiple women throughout my marriage. How the fuck do you ha…,671,0,1,22
892," <user>: me: *stares at selfie until it turns ugly*

me: i fucking knew it https://t.co/LKeIQ1u9Uf",225,0,1,15
893,My lower back is fucked and I wish it was for any other reason besides using the computer in bed for too long,817,0,0,23
894, <user>: y’all remember when y’all were reposting that shit so instagram wouldn’t delete ur account? i ain’t forget y’all being a…,1623,0,1,21
895,<user> got me fucked up,104,0,0,5
896, <user>: Remember I was Fucking a crip nigga and took this picture throwing up bs and he came and shot the club up https://t.co/X9…,80,0,1,24
897, <user>: NOOOOOO THE WAY SEUNGKWAN KISSED MINGHAO IS SO CUTEEEE ITS CRYING HOURS 😭😭😭😭😭😭😭 https://t.co/XwqAdcdPXJ,1196,0,1,15
898,Cancer is the worst thing in the fucking world,611,0,0,9
899, <user>: Waka Flocka saying “I fucked my money up now I can’t re-up” is an example of him teaching financial literacy to the youth…,1787,0,1,24
900,Every single time,466,0,0,3
901," <user>: ⚠️WARNING: GRAPHIC CONTENT⚠️
Since the 1980s, China has been targeting, arresting, torturing, and killing Uyghurs for bei…",101,0,1,18
902, <user>: The smartest thing I do is play dumb.,961,0,1,9
903,"It does not help I came home to an ant invasion on my counter top.

One of my triggers for cyclic vomiting is stres… https://t.co/GNi3bkqlVh",576,0,0,25
904, <user>: Again? We can’t even get you to pass fucking background checks. https://t.co/nkFtN1Chl9,6528,0,1,13
905, <user>: Just saw a white guy tell a black woman to stop using lotion on her hands because it's useless in the first ever man/klansp…,4430,0,1,25
906,<user> wheres the fucking link????,251,0,0,5
907,"WHEW. 

That’s a solid place to stop for the night, Twitter. WE DID IT. 

That’s the entire Preface. Thank GOD.… https://t.co/9COmjGLXvU",814,0,0,21
908,<user> <num>...fucking start,408,0,0,3
909,"Stop saying it’s not okay to put on Twitter… people should be held to account, always. I am never abusive or rude t… https://t.co/XVh3pxP2Jz",1366,0,0,24
910,"You fucking her 
I’m getting her high videos
We are not the same",990,0,0,13
911,<user> Awee soo damn cute I fucking can’t that’s too adorable,19,0,0,11
912, <user>: If you’re driving with a dead roommate in the trunk can you use the carpool lane? <user> https://t.co/GuozuNg6WA,1398,0,1,19
913,"He's punishing USA for Obama, bc he genuinely hates him.

Democratic Senators are tweeting photos of the giant pile… https://t.co/sm3xxDAqre",8358,0,0,20
914," <user>: <num> dead and <num> left injured after Lizzo attempted a stage dive at her recent concert 

More Here: https://t.co/UsiBCLPUIU ht…",99,0,1,20
915," <user>: <user> Fed worker here, had my kids <num> and <num> years ago, at the top of my pay scale, I demand my <num> weeks of leave be giv…",180,0,1,29
916,<user> He didn’t HAVE to live with her to do that.   He coulda stopped by and visit to spy on her to what… https://t.co/SuEEWhpbpk,320,0,0,24
917,‘I killed them’: Police release video of man moments after he stabbed three-week-old son to death and left mother f… https://t.co/GdCNgOkvIc,690,0,0,21
918,"I don't care if people know how broke, stupid, anxious, or fucked up I am. I also don't brag when I am well. I am just a human.",92,0,0,28
919, <user>: Sid Reality Please Share this as much as possible... Bigboss nahi dikhyega Asim ko kabhi positive please support him if you un…,6,0,1,23
920," <user>: We disappear for a week while we try to get ourselves together, as we get accused of “acting different” and “not being there…",171,0,1,24
921,"I am sick and tired of all the Bruins hero hockey be it 
<user> or <user> skating straight into <num> or <num> def… https://t.co/CMfIIHcfNk",3172,0,0,24
922, <user>: Words https://t.co/i2t8TAaEs8,1000,0,1,3
923, <user>: Aye them dogs wilding 😭😭😭 niggas went through that window like it was resident evil <num> https://t.co/U0kI7lC4s4,369,0,1,18
924, <user>: When she doesn’t suck me off after I held the door open for her https://t.co/o4Wetctz2t,218,0,1,16
925,<user> she’s sick,1896,0,0,3
926," <user>: If we date , just know that I turn into a whole child when I’m sick 💀💀 hold meeeeeeee 🥺",173,0,1,21
927," <user>: Weird, Senator.

<user> said it was a “crime spree in progress”

<user> said “nothing could be more urgent”

No…",1000,0,1,20
928,damn u want him to lose his job? the way u think speaking about it would do anything😭,130,0,0,18
929," <user>: La illaha illah anta subhanaka inni kuntu minaz zalimin.

This duaa works like magic man. Recite if you're distressed and…",251,0,1,21
930, <user>: lol and I bet the beauty/fashion influencers que se creen “Latina af” won’t boycott fashion nova cause they’ll lose $$ s…,45,0,1,22
931, <user>: A <num>-year-old Rogers Park man is dead after someone kicked down the door of his apartment and shot him in the face early Sa…,1716,0,1,25
932, <user>: Democrats lose another Federal District Judge.  Jimmy Carter appointed Federal District Judge Avern Cohn of the Eastern…,3816,0,1,18
933," <user>: Sometimes you gotta go broke, lose the person you thought you loved, watch friends turn to strangers, just to get to your…",207,0,1,23
934," <user>: Even when I discuss race, it shouldn’t shock people. This was literally in my first story published by The Athletic. This i…",303,0,1,23
935,Dead ass,882,0,0,2
936, <user>: Retweet if you would suck it https://t.co/wvXfmaz7RW,211,0,1,8
937, <user>: no offense me and my siblings band going viral would actually suck https://t.co/aQ66IxjqhE https://t.co/1CAybTQlxu,292,0,1,14
938," <user>: what are you talking about??? we’re literally still here. maya people are all over guatemala, jus say you’re racist and go. h…",134,0,1,23
939, <user>: Big shoutout to <user> and the entire <user> team for making such incredible vehicles! My girlfriend got in my X and…,1147,0,1,22
940," <user>: After millions dead,  lives ruined, economies destroyed, &amp; normal political development ended - all you can say is “colonialis…",385,0,1,20
941, <user>: Not only is this sick but it accomplished absolutely nothing except possibly traumatizing <user>’s children. He’s wa…,931,0,1,18
942," <user>: really, i'm afraid to lose you",85,0,1,7
943,What if I lose you?,128,0,0,5
944,"I love how big account keep posting about losing followers, and I'm sitting here with <num> follower I'm glad for and… https://t.co/4eKpYQj8nI",792,0,0,22
945," <user>: Shocking: pictures China doesn’t want you to see..

This is why The world should never ever let China to become The riches…",939,0,1,23
946," <user>: Sure <user>, but you left out the autoerotic strangulation &amp; asphyxiation of your dead roommate.👇

""We can conduct ov…",15932,0,1,20
947, <user>: It’s amazing how one bad season from the team and from Goff can make the fan base completely lose their minds. Last season…,684,0,1,24
948," <user>: Pedophiles in the MSM.

They are hiding in plain sight and mocking you.

Sick ...",6881,0,1,16
949," <user>: This shit have me dead every time 💀
 https://t.co/FYMQq9dhmj",205,0,1,10
950," <user>: Well, I didn't lose hope for Damerey after TheRiseOfSkywalker. Damn, all damerey moments were awesome and so similar t…",169,0,1,20
951, <user>: Damn the call of duty hell hounds don’t even be on your ass like that https://t.co/rFaRQJgMm5,225,0,1,17
952,"<user> That’s all MoscowMitch knows how to do.  All he cares about is keeping the GOP in power, country be damned.",124,0,0,21
953,“Well you better lose them hoes”,2368,0,0,6
954," <user>: .<user>, the American people are waiting for you to do your job.  I am waiting for you to allow these bills on…",328,0,1,23
955," <user>: doms calling themselves daddy make subs weak.

“you’re going to be obedient for daddy, yes?”
“why don’t you put that mouth…",189,0,1,22
956,<user> They still continue to get bailed out but stupid mistakes,881,0,0,11
957, <user>: Matt Gaetz is currently trying to freshen up his timeline because it’s currently thousands of comments about another t…,1003,0,1,20
958, <user>: I actually suck at texting till I catch feelings then I become an expert talkin bout “cOmMuNiCaTiOn iS kEy”😂😂,216,0,1,20
959," <user>: Two people who tried to rob a vape shop in Fresno, California were shot dead by the owner, police said, adding that they were…",215,0,1,25
960,<user> Plssss don’t do that to yourself loll you’ll be sick,658,0,0,11
961," <user>: Hong Kong Protests going on for months and only two casualties. In India, <num> dead in a week. https://t.co/wNT9E5J2VS",104,0,1,20
962, <user>: Y’all don’t do this Shit. Don’t click this stupid ass link. Don’t. Just don’t https://t.co/cr1shpq2SG,1357,0,1,16
963,I feel sick,184,0,0,3
964," <user>: flying around the stage. But if you don't fall asleep in <num> minutes, every minute you stay up, a member will disappear.…",984,0,1,23
965,"<user> She thinks she can sit on it for years as leverage against POTUS, but when they lose the House we'll just… https://t.co/yMQQrN5vEo",2275,0,0,23
966, <user>: scary part about rockin with somebody is the fact that they can have you lookin stupid asf &amp; you’d never know. https://t.co/Ut…,237,0,1,23
967,<user> I would love such opportunity to push awareness of people suffering of brain shutdown conditions my mom has… https://t.co/wOIu5xUXrW,11,0,0,20
968," <user>: ""We seriously need to win this to say to whoever has the power - the police or the govt - that you cannot do this to peo…",68,0,1,28
969, <user>: I don’t think JK Rowling cares if you draw her characters in trans flags. She’s rich and becomes richer the more Harry Po…,590,0,1,24
970," <user>: LMAO I HATE FOREVER <num>, IT SAYS GIRL GANG AND WHEN YOU FLIP IT OVER IT SAYS DEAD https://t.co/MLh1NMSub6",538,0,1,20
971," <user>: Still a long shot, but few incumbents deserve defeat more. https://t.co/lya1Jv2gj2",1000,0,1,12
972," <user>: ""JoJo is such a stupid show. nobody dresses or acts like that in real life lol"" 

Italy: https://t.co/2rs0ymoz4s",399,0,1,19
973, <user>: Who says romance is dead? https://t.co/E6sjRbJ8pu,931,0,1,7
974, <user>: Take notes on how to suck a nigga soul https://t.co/9lCCkFI2So,1070,0,1,11
975,India support can nd nrc,121,0,0,5
976,i'm gonna lose my fuckign marbles,578,0,0,6
977,<user> <user> And the dead wife,971,0,0,6
978," <user>: Stupid Pramila Jaipal, Democrat, US congress has no locus stand i to get an audience with India's Minister of External…",582,0,1,21
979, <user>: My vote goes to <user> TeamJaime https://t.co/J0zPjdvbc4,731,0,1,8
980," <user>: PLEASE RISE FOR THE NATIONAL ANTHEM OF THE BROKEN, THE BEATEN, AND THE DAMNED. 

mychemicalromance 
MyChemicalRomanceRe…",326,0,1,17
981, <user>: Why does today SUCK,587,0,1,5
982," <user>: perfect height to fight seventeen:

scoups: 178cm
jeonghan: 179cm
joshua: you will lose
jun: 237cm
hoshi: 143cm
wonu: <num>…",901,0,1,20
983,"sick of ppl who pick n choose when they need u, not about it anymore",525,0,0,15
984," <user>: Girls fall prey to Cougars, boys mount a come back but lose <num>-<num>.
A1 Storage POTG are Brittany Steppleton and Nate Braff…",73,0,1,23
985, <user>: i cannot believe spinel is DEAD https://t.co/Vp542emOo7,161,0,1,8
986,Closing out my birthday cuddled up by myself watching How To Lose A Guy In <num> Days. I’m so happy. https://t.co/jGPHgKeLhH,432,0,0,21
987,<user> <user> you deserve to lose with starting Fitzmagic as your QB,74,0,0,12
988," <user>: ""I had to take Meereen or see my children starve along the march."" Dany could still see the trail of corpses she had l…",245,0,1,25
989, <user>: Franc CFA is dead. Long live Franc CFA. what a mess,2462,0,1,12
990,nokill endkillshelters. This has to stop!💔💔😢😢,143,0,0,6
991,<user> more like red dead offline great job! https://t.co/wgvPaWgYW0,1,0,0,9
992,<user> So sick of Liverpool,850,0,0,5
993," <user>: BeBestBy
-not mocking dead people
-not mocking disabled people
-not locking kids in cages
-not terrorizing Lisa Page
-not…",4998,0,1,20
994,"<user> Whether in America or England, the Left are all the same. They defend their political views by atta… https://t.co/8UrhnyGSiU",691,0,0,20
995,<user> Dead ass,839,0,0,3
996,<user> Did you enjoy your extended trial run of being dead?,784,0,0,11
997,our caster just asked to stop raid for <num> mins to reply to a grindr message as the guy plays xiv i'm going to lose my fucking mind,92,0,0,28
998,"<user> <user> <user> They’ll lose their base bc their views don’t align, a debate has little to no bearing",142,0,0,19
999," <user>: Lindsey Graham has political problems at home in South Carolina — and may lose his Senate seat in <num> 

Raise your ha…",4013,0,1,23
1000,<user> <user> Obama’s abuse of executive power was unprecedented. You’re either willfully ignorant or dumb… https://t.co/tfcK8jXfCV,627,0,0,16
1001,"<user> I’m sick of this sorry ass team. For the amount a ticket costs at TD garden?? Yeah, I’ll pass",23,0,0,20
1002,capricorn szn started no wonder why i’m sick,1091,0,0,8
1003, <user>: CyberSecurity Hacker [The New Spymasters: Inside the Modern World of Espionage from the Cold War to Global Terror] 🐦 htt…,0,0,1,21
1004,<user> I wanted to see Knives Out but I was too sick when it was playing near me. I will definitely catch it though.,1794,0,0,24
1005,Na I’m dead lmaooo,287,0,0,4
1006,Only white rappers I listen to is the niggas with they own flows n aesthetic n shit these niggas be cookie cutter a… https://t.co/JNLk96XG0x,287,0,0,24
1007, <user>: the year is <num>. you are finally dead. everything is fantastic.,46,0,1,12
1008," <user>: ALE: Jihad Attack Against Officer &amp; Civilian In Arizona

Terrorist Mohamed Ahmed E A Al-Hashemi tried to Murder a Trooper who…",4995,0,1,22
1009,Dababy has a huge DICK! Omg! Time to SUCK!,502,0,0,9
1010, <user>: Police used a K-<num> and shot rubber pellets to take a stalking suspect into custody after the end of a chase in Corona. Full video…,637,0,1,26
1011," <user>: Hard truth. 

An actor dies of a drug overdose, all over the news for weeks.

A soldier dies protecting our freedoms, not ev…",703,0,1,24
1012," <user>: JUSTICE DENIED ! ! !
NANDAPRASAD DIES ! ! !",2983,0,1,11
1013," <user>: Russian Billionaire And Critic Of Vladimir Putin, Boris Berezovsky Found Dead https://t.co/OgrTfgGweM",408,0,1,13
1014,<user> The dates on this stupid-ass shirt are incorrect 🙄 Figures!,2689,0,0,11
1015, <user>: Sure enough: Charlie is dead. Killed by the <user> two days after they put him on the “At Risk List” the Thursday befo…,3330,0,1,24
1016,Oh well Win some Lose Some,171,0,0,6
1017, <user>: This is Matthew’s wife. I think he is dead. Please remember him fondly. Winston,611,0,1,15
1018," <user>: <user> <user> Well if I was built like an iPhone I would be as ignorant to trials of curvy women, but maybe you…",462,0,1,24
1019," <user>: This line from <user> last night was dead on: 

""We've got to break out of the Washington mind-set that measures t…",153,0,1,22
1020, <user>: I lose interest &amp; wanna be alone outta nowhere. https://t.co/GRZzVRSC0N,782,0,1,11
1021," <user>: https://t.co/YaAoKirAwj
RIP Randy Suess, one of the inventors of the BBS.  If it weren't for him, a lot of us would not be…",649,0,1,24
1022,Devils Suck!,4127,0,0,2
1023," <user>: <user> The period when a clean Subcontinent was infected by the worst social virus ....! 

Kazakhstan will be worr…",7752,0,1,20
1024,I am going to actively stop giving relationship advice. because I’m sick of people weighing in on my relationship.… https://t.co/d7TuEv1WVh,45,0,0,20
1025," <user>: The richest families in Florence, Italy in <num> were also the richest families in <num> https://t.co/UhC6yJzeRb https://t.c…",236,0,1,17
1026,That dies make sense wallah,158,0,0,5
1027,i feel so sick and uncomfortable,2973,0,0,6
1028," <user>: Sex in the shower is awful, you go suck on your partner and all you taste is water and all you smell is soap 😣
It also w…",293,0,1,29
1029,<user> Gonna be <num> out of <num> when we lose Monday to Washington.,2564,0,0,13
1030," <user>: The. Mayan. People. Are. Still. There.

STILL THERE.

There is no ""civilization collapse"" or ""vanishing"". They are there. For…",1171,0,1,20
1031," <user>: I can't even read this article from someone I have admired. 
I am so sick of our most powerful and experienced women b…",2288,0,1,24
1032,<user> If I lose I die,144,0,0,6
